Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","PinHeader_1x02_P2.54mm_Vertical",94.800000,-111.200000,0.000000,top
"C1","100n","C_0402_1005Metric",131.900000,-98.457500,0.000000,top
"C2","100n","C_0402_1005Metric",143.300000,-102.437500,-90.000000,top
"C3","100n","C_0402_1005Metric",139.320000,-113.457500,180.000000,top
"C4","100n","C_0402_1005Metric",127.600000,-102.680000,90.000000,top
"C5","100n","C_0402_1005Metric",131.920000,-96.957500,0.000000,top
"C6","10u","C_0603_1608Metric",126.225000,-98.157500,0.000000,top
"C7","10n","C_0402_1005Metric",128.200000,-108.720000,90.000000,top
"C8","1u","C_0402_1005Metric",127.320000,-111.382500,180.000000,top
"C9","1u","C_0402_1005Metric",127.320000,-113.800000,180.000000,top
"C10","100n","C_0402_1005Metric",132.360000,-113.477500,0.000000,top
"C11","10p","C_0402_1005Metric",125.400000,-102.320000,90.000000,top
"C12","10p","C_0402_1005Metric",125.400000,-104.720000,90.000000,top
"C13","22u","C_0805_2012Metric",146.800000,-108.400000,0.000000,top
"C14","22u","C_0805_2012Metric",152.300000,-113.957500,90.000000,top
"C15","10n","C_0402_1005Metric",113.600000,-110.200000,180.000000,top
"C16","10n","C_0402_1005Metric",120.200000,-122.320000,90.000000,top
"C17","10n","C_0402_1005Metric",118.850000,-105.792500,-90.000000,top
"D1","LED","LED_0603_1608Metric",155.800000,-114.745000,-90.000000,top
"D2","1N5819","D_DO-41_SOD81_P10.16mm_Horizontal",112.920000,-126.200000,0.000000,top
"FB1","120R","R_0805_2012Metric",129.300000,-112.170000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",157.445000,-103.605000,90.000000,top
"J2","SWPIN","PinSocket_1x04_P2.54mm_Vertical",150.620000,-95.400000,-90.000000,top
"J3","SWPIN","PinSocket_1x04_P2.54mm_Vertical",139.000000,-92.400000,-90.000000,top
"J4","Load Conn","PinHeader_1x02_P2.54mm_Vertical",119.675000,-131.000000,-90.000000,top
"Q1","IRLZ34N","TO-220-3_Vertical",112.600000,-97.600000,90.000000,top
"Q3","IRLZ34N","TO-220-3_Vertical",116.000000,-136.600000,180.000000,top
"R1","10k","R_0402_1005Metric",145.710000,-93.000000,180.000000,top
"R2","1k","R_0402_1005Metric",156.090000,-110.200000,0.000000,top
"R3","1k5","R_0402_1005Metric",138.400000,-96.310000,0.000000,top
"R4","1k5","R_0402_1005Metric",135.490000,-96.400000,0.000000,top
"R5","1k","R_0402_1005Metric",128.800000,-130.110000,90.000000,top
"R6","10k","R_0402_1005Metric",126.200000,-136.400000,-90.000000,top
"R7","10k","R_0402_1005Metric",118.000000,-94.400000,180.000000,top
"R8","7.5k","R_0402_1005Metric",113.600000,-114.200000,0.000000,top
"R9","30k","R_0402_1005Metric",108.800000,-112.510000,90.000000,top
"R10","100","R_0402_1005Metric",113.570000,-111.600000,0.000000,top
"R11","10k","R_0402_1005Metric",141.290000,-121.400000,0.000000,top
"R12","1k","R_0402_1005Metric",121.000000,-94.400000,0.000000,top
"R13","1k5","R_0402_1005Metric",148.400000,-103.000000,-90.000000,top
"R14","100","R_0402_1005Metric",116.250000,-105.792500,-90.000000,top
"R15","10k","R_0402_1005Metric",118.890000,-114.410000,0.000000,top
"R16","10k","R_0402_1005Metric",118.890000,-116.400000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_CK_JS102011SAQN",158.400000,-88.000000,90.000000,top
"SW2","SW_Push","SW_Push_1P1T_XKB_TS-1187A",149.800000,-127.200000,90.000000,top
"U1","STM32F446RETx","LQFP-64_10x10mm_P0.5mm",135.800000,-105.957500,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",146.800000,-113.957500,-90.000000,top
"U3","ACS712xLCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",115.400000,-121.000000,0.000000,top
"U4","TMP20AIDCK","TO-92_Inline",109.260000,-105.800000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",122.400000,-103.607500,-90.000000,top
